period,Inflation_Gap_Pct
2005-07-31,1.8399999999999999
2005-08-31,2.33
2005-09-30,3.0600000000000005
2005-10-31,11.89
2005-11-30,12.379999999999999
2005-12-31,11.11
2006-01-31,9.030000000000001
2006-02-28,9.920000000000002
2006-03-31,7.74
2006-04-30,7.4
2006-05-31,7.6
2006-06-30,7.529999999999999
2006-07-31,7.15
2006-08-31,6.9
2006-09-30,6.550000000000001
2006-10-31,-1.71
2006-11-30,-2.7300000000000004
2006-12-31,-1.4000000000000004
2007-01-31,0.2599999999999998
2007-02-28,0.2999999999999998
2007-03-31,0.5199999999999996
2007-04-30,0.29000000000000004
2007-05-31,0.009999999999999787
2007-06-30,-0.23000000000000043
2007-07-31,0.05999999999999961
2007-08-31,0.5099999999999998
2007-09-30,0.9500000000000002
2007-10-31,0.8799999999999999
2007-11-30,0.71
2007-12-31,0.5899999999999999
2008-01-31,2.3600000000000003
2008-02-28,2.4000000000000004
2008-03-31,3.17
2008-04-30,3.960000000000001
2008-05-31,5.380000000000001
2008-06-30,6.029999999999999
2008-07-31,6.9
2008-08-31,6.85
2008-09-30,7.140000000000001
2008-10-31,6.77
2008-11-30,6.68
2008-12-31,6.0600000000000005
2009-01-31,4.67
2009-02-28,4.1
2009-03-31,3.42
2009-04-30,2.8099999999999996
2009-05-31,1.54
2009-06-30,-0.8500000000000001
2009-07-31,-1.79
2009-08-31,-1.75
2009-09-30,-1.67
2009-10-31,-1.9300000000000002
2009-11-30,-2.09
2009-12-31,-1.7200000000000002
2010-01-31,-1.2799999999999998
2010-02-28,-1.19
2010-03-31,-1.5699999999999998
2010-04-30,-1.0899999999999999
2010-05-31,-0.8399999999999999
2010-06-30,0.04999999999999982
2010-07-31,1.2199999999999998
2010-08-31,1.4400000000000004
2010-09-30,0.7999999999999998
2010-10-31,0.6699999999999999
2010-11-30,1.33
2010-12-31,1.96
2011-01-31,2.0199999999999996
2011-02-28,1.8399999999999999
2011-03-31,1.6500000000000004
2011-04-30,1.1600000000000001
2011-05-31,0.9800000000000004
2011-06-30,0.54
2011-07-31,-0.3899999999999997
2011-08-31,-0.20999999999999996
2011-09-30,-0.3899999999999997
2011-10-31,-0.5800000000000001
2011-11-30,-0.8499999999999996
2011-12-31,-1.21
2012-01-31,-0.8500000000000001
2012-02-29,-0.94
2012-03-31,-0.5299999999999998
2012-04-30,0.0
2012-05-31,-0.04999999999999982
2012-06-30,0.03000000000000025
2012-07-31,0.05999999999999961
2012-08-31,0.08000000000000007
2012-09-30,-0.1900000000000004
2012-10-31,0.11000000000000032
2012-11-30,-0.17999999999999972
2012-12-31,-0.20000000000000018
2013-01-31,0.07000000000000028
2013-02-28,0.8099999999999996
2013-03-31,1.4000000000000004
2013-04-30,1.0700000000000003
2013-05-31,0.9699999999999998
2013-06-30,1.4000000000000004
2013-07-31,4.109999999999999
2013-08-31,4.289999999999999
2013-09-30,3.9000000000000004
2013-10-31,3.8200000000000003
2013-11-30,3.869999999999999
2013-12-31,3.880000000000001
2014-01-31,3.7200000000000006
2014-02-28,3.25
2014-03-31,2.8200000000000003
2014-04-30,2.75
2014-05-31,2.8200000000000003
2014-06-30,2.2
2014-07-31,0.03000000000000025
2014-08-31,-0.5099999999999998
2014-09-30,0.03000000000000025
2014-10-31,0.33000000000000007
2014-11-30,1.7300000000000004
2014-12-31,3.8599999999999994
2015-01-31,2.96
2015-02-28,2.29
2015-03-31,2.38
2015-04-30,2.79
2015-05-31,3.1500000000000004
2015-06-30,3.26
2015-07-31,3.26
2015-08-31,3.1799999999999997
2015-09-30,2.83
2015-10-31,2.25
2015-11-30,0.8899999999999997
2015-12-31,-0.6499999999999999
2016-01-31,0.13999999999999968
2016-02-29,0.41999999999999993
2016-03-31,0.4500000000000002
2016-04-30,-0.3999999999999999
2016-05-31,-0.6699999999999999
2016-06-30,-0.5499999999999998
2016-07-31,-0.79
2016-08-31,-1.21
2016-09-30,-0.9300000000000002
2016-10-31,-0.69
2016-11-30,-0.41999999999999993
2016-12-31,-0.98
2017-01-31,-0.5099999999999998
2017-02-28,-0.16999999999999993
2017-03-31,-0.3900000000000001
2017-04-30,0.16999999999999993
2017-05-31,0.33000000000000007
2017-06-30,0.3700000000000001
2017-07-31,-0.1200000000000001
2017-08-31,-0.18000000000000016
2017-09-30,-0.2799999999999998
2017-10-31,-0.41999999999999993
2017-11-30,-0.7000000000000002
2017-12-31,-0.3900000000000001
2018-01-31,-0.25
2018-02-28,-0.31999999999999984
2018-03-31,-0.10000000000000009
2018-04-30,-0.08999999999999986
2018-05-31,-0.27
2018-06-30,-0.3799999999999999
2018-07-31,-0.31999999999999984
2018-08-31,-0.2999999999999998
2018-09-30,-0.6200000000000001
2018-10-31,-0.33999999999999986
2018-11-30,-0.27
2018-12-31,-0.3700000000000001
2019-01-31,-0.6800000000000002
2019-02-28,-0.9300000000000002
2019-03-31,-1.02
2019-04-30,-0.6699999999999999
2019-05-31,-0.18000000000000016
2019-06-30,-0.2200000000000002
2019-07-31,-0.18000000000000016
2019-08-31,-0.009999999999999787
2019-09-30,-0.10999999999999988
2019-10-31,-0.3700000000000001
2019-11-30,-0.5
2019-12-31,-0.7799999999999998
2020-01-31,-0.31999999999999984
2020-02-29,-0.020000000000000018
2020-03-31,-0.040000000000000036
2020-04-30,-0.33000000000000007
2020-05-31,-0.81
2020-06-30,-1.04
2020-07-31,-1.46
2020-08-31,-1.68
2020-09-30,-1.58
2020-10-31,-1.56
2020-11-30,-1.41
2020-12-31,-1.32
2021-01-31,-1.45
2021-02-28,-1.62
2021-03-31,-1.63
2021-04-30,-1.58
2021-05-31,-1.32
2021-06-30,-1.67
2021-07-31,-1.48
2021-08-31,-1.41
2021-09-30,-1.4
2021-10-31,-1.34
2021-11-30,-1.25
2021-12-31,-1.13
2022-01-31,-0.8199999999999998
2022-02-28,-0.94
2022-03-31,-0.3599999999999999
2022-04-30,0.4700000000000002
2022-05-31,0.5499999999999998
2022-06-30,1.3499999999999996
2022-07-31,1.9400000000000004
2022-08-31,1.6900000000000004
2022-09-30,2.95
2022-10-31,2.71
2022-11-30,2.42
2022-12-31,2.51
2023-01-31,2.2800000000000002
2023-02-28,2.4699999999999998
2023-03-31,1.9699999999999998
2023-04-30,1.33
2023-05-31,1.0
2023-06-30,0.52
2023-07-31,0.08000000000000007
2023-08-31,0.27
2023-09-30,-0.7200000000000002
2023-10-31,-0.43999999999999995
2023-11-30,-0.14000000000000012
2023-12-31,-0.3900000000000001
2024-01-31,0.06999999999999984
2024-02-29,0.25
2024-03-31,0.5499999999999998
2024-04-30,0.5
2024-05-31,0.33999999999999986
2024-06-30,0.009999999999999787
2024-07-31,-0.3700000000000001
2024-08-31,-0.3799999999999999
2024-09-30,-0.6599999999999999
2024-10-31,-0.79
2024-11-30,-0.95
2024-12-31,-0.9299999999999999
2025-01-31,-1.74
2025-02-28,-2.59
2025-03-31,-1.47
2025-04-30,-0.55
2025-05-31,-0.8999999999999999
2025-06-30,-0.6299999999999999
2025-07-31,-0.1299999999999999
2025-08-31,-0.18999999999999995
2025-09-30,0.1499999999999999
2025-10-31,0.3599999999999999
2025-11-30,0.2200000000000002
2025-12-31,0.41999999999999993
2026-01-31,1.0499999999999998
2026-02-28,2.26
2026-03-31,0.98
2026-04-30,-0.08000000000000007
2026-05-31,0.5800000000000001
